#,Project,Linear Model,Number of PRs ,R squared,R squared - optimism,R squared - corrected
127,Theano/Theano,CI,1882,"0,7294","0,0030","0,7263"
128,Theano/Theano,NO-CI,616,"0,6217","0,0286","0,5931"
129,puppetlabs/puppet,CI,3008,"0,2165","0,0076","0,2089"
130,puppetlabs/puppet,NO-CI,247,"0,2861","0,1511","0,1350"
131,chef/chef,CI,1667,"0,3643","0,0082","0,3561"
132,chef/chef,NO-CI,103,"0,6053","0,0708","0,5346"
133,woocommerce/woocommerce,CI,1147,"0,2381","0,0201","0,2180"
134,woocommerce/woocommerce,NO-CI,1334,"0,2271","0,0310","0,1961"
135,divio/django-cms,CI,1909,"0,2923","0,0117","0,2806"
136,divio/django-cms,NO-CI,131,"0,5001","0,5345","-0,0344"
137,scipy/scipy,CI,1612,"0,0308","0,0299","0,0008"
138,scipy/scipy,NO-CI,287,"0,1037","0,1754","-0,0717"
139,matplotlib/matplotlib,CI,2074,"0,1603","0,0098","0,1505"
140,matplotlib/matplotlib,NO-CI,396,"0,4557","0,1629","0,2928"
141,sympy/sympy,CI,2316,"0,2011","0,0068","0,1943"
142,sympy/sympy,NO-CI,792,"0,2594","0,0756","0,1837"
143,twbs/bootstrap,CI,1824,"0,2088","0,0133","0,1955"
144,twbs/bootstrap,NO-CI,126,"0,0765","0,2552","-0,1787"
145,AnalyticalGraphicsInc/cesium,CI,547,"0,6911","0,0254","0,6657"
146,AnalyticalGraphicsInc/cesium,NO-CI,515,"0,2338","0,0403","0,1934"
147,elastic/kibana,CI,1681,"0,4351","0,0124","0,4227"
148,elastic/kibana,NO-CI,235,"0,3776","0,3394","0,0382"
149,mozilla/pdf.js,CI,1872,"0,4460","0,0073","0,4387"
150,mozilla/pdf.js,NO-CI,1029,"0,4432","0,0132","0,4300"
151,appcelerator/titanium_mobile,CI,1265,"0,0813","0,0259","0,0554"
152,appcelerator/titanium_mobile,NO-CI,5316,"0,1762","0,0048","0,1714"
153,TryGhost/Ghost,CI,2275,"0,1216","0,0328","0,0888"
154,TryGhost/Ghost,NO-CI,299,"0,5693","0,0344","0,5349"
155,fog/fog,CI,1694,"0,2057","0,0163","0,1894"
156,fog/fog,NO-CI,479,"0,0310","0,0729","-0,0419"
157,ansible/ansible,CI,1462,"0,5452","0,0092","0,5359"
158,ansible/ansible,NO-CI,3150,"0,4373","0,0197","0,4176"
159,ipython/ipython,CI,3272,"0,4394","0,0037","0,4357"
160,ipython/ipython,NO-CI,504,"0,6634","0,0275","0,6359"
161,cakephp/cakephp,CI,3653,"0,3917","0,0072","0,3845"
162,cakephp/cakephp,NO-CI,287,"0,2786","0,1781","0,1005"
163,owncloud/core,CI,5936,"0,1377","0,0041","0,1336"
164,owncloud/core,NO-CI,2676,"0,3608","0,0049","0,3558"
165,rails/rails,CI,9866,"0,1671","0,0019","0,1653"
166,rails/rails,NO-CI,525,"0,0853","0,0667","0,0185"
167,mozilla-b2g/gaia,CI,17690,"0,3292","0,0012","0,3280"
168,mozilla-b2g/gaia,NO-CI,4369,"0,7635","0,0036","0,7600"
169,saltstack/salt,CI,19366,"0,1595","0,0015","0,1580"
170,saltstack/salt,NO-CI,457,"0,3065","0,0410","0,2655"
